Persona;Telefono;Nombre;Direccion;Correo
p1;8111234567;Juan Perez;abeto #100;j.perez@correocaliente.com
p2;8287894532;Juan Lopez;huizache #987;j.lopez@correocaliente.com
p3;5694781122;Juan Cocio;cerezo #156;j.cocio@correocaliente.com
p4;8288885562;Juan Santamaria;abeto #120;j.santaamria@correocaliente.com
p5;8113216547;Juan Escutia;abeto #112;j.escutia@correocaliente.com
p6;6589745364;Juan Villavicencio;dominicana #123;j.villavi@correocaliente.com
p7;4568956321;Juan Martinez;andalucia #734;j.martinz@correocaliente.com
p8;7896541236;Juan Venegas;asturias #728;j.venegas@correocaliente.com
p9;1524698965;Juan Leonor;asturias #72;j.leo@correocaliente.com
p10;8284565894;Paco Villa;huizache #983;pac.villa@correocaliente.com
